t, x1, y1, x2, y2
106766.265594, 54063.654032, -61273.286777, 1551246092.269111, 618230475.733682
106933.255055, 54272.531893, -61396.930612, 1549459695.059735, 622650815.920570
107100.244516, 54481.815287, -61520.411239, 1547660586.331903, 627066040.270069
107267.233977, 54691.503754, -61643.727495, 1545848780.498285, 631476112.408251
107434.223438, 54901.596831, -61766.878222, 1544024292.074541, 635880996.000571
107601.212899, 55112.094051, -61889.862263, 1542187135.679217, 640280654.752158
107768.202360, 55322.994945, -62012.678460, 1540337326.033646, 644675052.408092
107935.191821, 55534.299040, -62135.325658, 1538474877.961844, 649064152.753696
108102.181282, 55746.005860, -62257.802703, 1536599806.390409, 653447919.614814
108269.170743, 55958.114924, -62380.108442, 1534712126.348415, 657826316.858100
108436.160204, 56170.625752, -62502.241724, 1532811852.967306, 662199308.391298
108603.149665, 56383.537856, -62624.201399, 1530899001.480795, 666566858.163531
108770.139126, 56596.850747, -62745.986317, 1528973587.224752, 670928930.165579
108937.128587, 56810.563933, -62867.595333, 1527035625.637101, 675285488.430164
109104.118048, 57024.676918, -62989.027298, 1525085132.257712, 679636497.032234
109271.107509, 57239.189202, -63110.281069, 1523122122.728291, 683981920.089248
109438.096970, 57454.100285, -63231.355503, 1521146612.792270, 688321721.761452
109605.086431, 57669.409660, -63352.249456, 1519158618.294699, 692655866.252167
109772.075892, 57885.116818, -63472.961789, 1517158155.182137, 696984317.808070
109939.065353, 58101.221247, -63593.491363, 1515145239.502534, 701307040.719475
110106.054814, 58317.722433, -63713.837039, 1513119887.405125, 705623999.320612
110273.044275, 58534.619857, -63833.997680, 1511082115.140315, 709935157.989914
110440.033736, 58751.912997, -63953.972153, 1509031939.059565, 714240481.150295
110607.023197, 58969.601328, -64073.759324, 1506969375.615276, 718539933.269429
110774.012658, 59187.684322, -64193.358060, 1504894441.360677, 722833478.860034
110941.002119, 59406.161449, -64312.767230, 1502807152.949706, 727121082.480149
111107.991580, 59625.032173, -64431.985706, 1500707527.136897, 731402708.733419
111274.981041, 59844.295956, -64551.012360, 1498595580.777257, 735678322.269369
111441.970502, 60063.952258, -64669.846064, 1496471330.826152, 739947887.783687
111608.959963, 60284.000535, -64788.485696, 1494334794.339189, 744211370.018503
111775.949424, 60504.440239, -64906.930130, 1492185988.472092, 748468733.762666
111942.938885, 60725.270820, -65025.178246, 1490024930.480584, 752719943.852026
112109.928346, 60946.491724, -65143.228923, 1487851637.720267, 756964965.169710
112276.917807, 61168.102394, -65261.081041, 1485666127.646496, 761203762.646401
112443.907268, 61390.102270, -65378.733485, 1483468417.814262, 765436301.260615
112610.896729, 61612.490790, -65496.185138, 1481258525.878063, 769662546.038981
112777.886190, 61835.267386, -65613.434886, 1479036469.591786, 773882462.056516
112944.875651, 62058.431489, -65730.481616, 1476802266.808574, 778096014.436904
113111.865112, 62281.982526, -65847.324218, 1474555935.480709, 782303168.352770
113278.854573, 62505.919921, -65963.961581, 1472297493.659478, 786503889.025960
113445.844035, 62730.243096, -66080.392598, 1470026959.495051, 790698141.727816
113612.833496, 62954.951468, -66196.616162, 1467744351.236352, 794885891.779452
113779.822957, 63180.044452, -66312.631169, 1465449687.230930, 799067104.552026
113946.812418, 63405.521459, -66428.436515, 1463142985.924829, 803241745.467023
114113.801879, 63631.381898, -66544.031100, 1460824265.862457, 807409779.996525
114280.791340, 63857.625174, -66659.413822, 1458493545.686459, 811571173.663485
114447.780801, 64084.250689, -66774.583584, 1456150844.137582, 815725892.042004
